,Train RMSE,Test RMSE,Train R²,Test R²,Train MAE,Test MAE
Normal Equation,38393.046113911696,44242.55100006614,0.7520870079838595,0.7558601038794373,26534.90186397164,29135.30099848813
Linear Regression,38393.04611391171,44242.551000065985,0.7520870079838593,0.755860103879439,26534.90186397181,29135.300998488154
Ridge,38408.41584851673,44345.93358184244,0.7518884762198735,0.7547177962399131,26437.758790980435,29072.637300914834
Lasso,38393.18507313361,44251.327018574004,0.752085213395396,0.7557632383641928,26524.418590298552,29127.39301216222
Random Forest,12693.032420828908,36961.792908675525,0.9729027683263676,0.8296019996641123,8484.466308549432,23242.746761618266
Gradient Boosting,26049.597711531962,38749.98484623828,0.8858709539101243,0.8127156409261794,18808.629401579095,23634.81999575714
